id,vulnerability_name,category,severity,cvss_score,attack_vector,complexity,privileges_required,user_interaction,scope,confidentiality_impact,integrity_impact,availability_impact,description,remediation,affected_systems,discovery_method,exploit_available,mitigation_difficulty,business_impact
11,Insufficient Logging and Monitoring,Insufficient Logging and Monitoring,Medium,4.9,Local,Low,High,None,Unchanged,None,Low,Low,"Insufficient logging and monitoring coupled with missing incident response","Implement comprehensive logging and monitoring with real-time alerting","All Systems",Manual Review,No,Medium,Medium
12,Buffer Overflow,Memory Corruption,Critical,9.8,Local,Low,None,None,Unchanged,High,High,High,"Program writes more data to a buffer than it can hold leading to memory corruption","Use memory-safe programming languages and implement bounds checking","Native Applications,Operating Systems",Code Review,Yes,High,Critical
13,Race Condition,Concurrency,Medium,6.8,Local,High,Low,None,Unchanged,None,High,High,"Multiple threads access shared data simultaneously without proper synchronization","Implement proper synchronization mechanisms and atomic operations","Multi-threaded Applications",Manual Testing,Yes,High,Medium
14,Time-of-Check Time-of-Use (TOCTOU),Concurrency,Medium,5.9,Local,High,Low,None,Unchanged,Low,High,Low,"Security check and resource use are not atomic operations","Minimize time between security checks and resource usage","File Systems,Operating Systems",Code Review,Yes,High,Low
15,Privilege Escalation,Broken Access Control,High,8.8,Local,Low,Low,None,Changed,High,High,High,"User gains elevated access to resources that are normally protected","Implement principle of least privilege and regular access reviews","Operating Systems,Applications",Manual Testing,Yes,Medium,High
16,Command Injection,Injection,Critical,9.3,Network,Low,None,None,Changed,High,High,High,"Execution of arbitrary commands on the host operating system via vulnerable application","Validate and sanitize all user input and avoid system command execution","Web Applications,System Scripts",Manual Testing,Yes,Low,Critical
17,Path Traversal,Broken Access Control,Medium,6.5,Network,Low,None,None,Unchanged,High,None,None,"User can access files and directories outside the web document root","Validate and sanitize file paths and implement access controls","Web Applications,File Systems",Manual Testing,Yes,Low,Medium
18,Weak Cryptography,Cryptographic Failures,High,7.4,Network,Low,None,None,Unchanged,High,None,None,"Use of weak cryptographic algorithms or improper implementation","Use strong cryptographic algorithms and proper key management","All Systems",Code Review,No,Medium,High
19,Hardcoded Credentials,Security Misconfiguration,Critical,9.1,Network,Low,None,None,Changed,High,High,High,"Credentials are hardcoded in source code or configuration files","Remove hardcoded credentials and use secure credential management","All Systems,Source Code",Code Review,Yes,Low,Critical
20,Denial of Service (DoS),Availability,Medium,5.3,Network,Low,None,None,Unchanged,None,None,High,"System becomes unavailable to legitimate users","Implement rate limiting and resource management","All Systems,Network Infrastructure",Automated Scanning,Yes,Medium,Medium
21,Business Logic Flaw,Logic Errors,High,7.7,Network,Low,Low,None,Unchanged,High,High,None,"Application logic can be circumvented to achieve unintended behavior","Review business logic implementation and add validation","Web Applications,APIs",Manual Testing,Yes,High,High
22,Information Disclosure,Information Exposure,Medium,5.3,Network,Low,None,None,Unchanged,High,None,None,"Sensitive information is exposed to unauthorized parties","Remove sensitive information from responses and implement proper access controls","Web Applications,APIs",Manual Testing,No,Low,Medium
23,Session Fixation,Broken Authentication,High,8.1,Network,Low,None,Required,Unchanged,High,High,None,"Session identifier is not properly regenerated after authentication","Regenerate session identifiers after authentication","Web Applications",Manual Testing,Yes,Low,High
24,Clickjacking,Client-Side,Medium,4.3,Network,Low,None,Required,Unchanged,None,Low,None,"User interface is overlaid to trick users into clicking on unintended elements","Implement X-Frame-Options header and Content Security Policy","Web Applications",Manual Testing,Yes,Low,Low
25,HTTP Response Splitting,Injection,Medium,6.5,Network,Low,None,None,Unchanged,Low,High,None,"HTTP response headers can be manipulated to inject arbitrary content","Validate and sanitize all user input used in HTTP headers","Web Applications",Manual Testing,Yes,Low,Medium
26,LDAP Injection,Injection,High,8.8,Network,Low,None,None,Changed,High,High,High,"Malicious LDAP statements are inserted into application queries","Use parameterized LDAP queries and input validation","Directory Services,Web Applications",Manual Testing,Yes,Medium,High
27,XML Injection,Injection,Medium,6.5,Network,Low,None,None,Unchanged,High,High,None,"Malicious XML content is inserted into XML documents","Validate and sanitize XML input and use XML schema validation","Web Applications,XML Processing",Manual Testing,Yes,Low,Medium
28,Host Header Injection,Injection,Medium,5.4,Network,Low,None,None,Unchanged,Low,High,None,"HTTP Host header can be manipulated to redirect requests","Validate Host header against whitelist of allowed values","Web Applications,Load Balancers",Manual Testing,Yes,Low,Low
29,JWT Security Issues,Broken Authentication,High,7.5,Network,Low,None,None,Unchanged,High,High,None,"JSON Web Token implementation vulnerabilities","Proper JWT validation and secure algorithm selection","Web Applications,APIs",Code Review,Yes,Medium,High
30,GraphQL Injection,Injection,High,8.2,Network,Low,None,None,Changed,High,High,High,"Malicious GraphQL queries can access unauthorized data","Implement query complexity analysis and depth limiting","GraphQL APIs",Manual Testing,Yes,Medium,High
